# AccessXI typed transport transitions. One row per boarding: the anchor is where the player stands to board (game frame x, z, y; y down), the landing is where they stand on arrival. The search treats a row as a directed edge from_zone -> to_zone; the player zones into via_zone first (a ship or airship hold) and the leg completes on arrival in to_zone. availability: always | key_item:<exact key item name>. availability may also be unlock:<condition> for a gate the runtime cannot yet prove; such edges are never offered to the search and count only as availability-unknown in the census. Sources: LandSandBoat sql/transport.sql (dock positions, transit zones, 2026-08-21), the AccessXI destination catalogue (Cavernous Maw and Telepoint objects), bg-wiki/ffxiclopedia for availability.
transport_id	type	from_zone	from_name	anchor_x	anchor_z	anchor_y	anchor_name	to_zone	to_name	land_x	land_z	land_y	via_zone	availability	instruction	source	confidence
900000011	ferry	249	Mhaura	-0.516	-8.409	0.026	Mhaura ferry dock	50	Aht Urhgan Whitegate	-20.726	-154.231	3.389	46	always	Wait on the Mhaura dock and walk aboard the ship to Aht Urhgan Whitegate when it arrives. The route continues in Aht Urhgan Whitegate.	lsb-transport:11	untested
900000012	ferry	50	Aht Urhgan Whitegate	-20.726	-154.231	3.389	Whitegate dock to Mhaura	249	Mhaura	-0.516	-8.409	0.026	47	always	Wait on the Whitegate dock and walk aboard the ship to Mhaura when it arrives. The route continues in Mhaura.	lsb-transport:12	untested
900000013	ferry	50	Aht Urhgan Whitegate	20.726	154.231	3.389	Whitegate dock to Nashmau	53	Nashmau	3.240	-114.221	3.389	58	always	Wait on the Whitegate dock and walk aboard the ship to Nashmau when it arrives. The route continues in Nashmau.	lsb-transport:13	untested
900000014	ferry	53	Nashmau	3.240	-114.221	3.389	Nashmau ferry dock	50	Aht Urhgan Whitegate	20.726	154.231	3.389	59	always	Wait on the Nashmau dock and walk aboard the ship to Aht Urhgan Whitegate when it arrives. The route continues in Aht Urhgan Whitegate.	lsb-transport:14	untested
910000105	maw	105	Batallia Downs	-45.147	436.919	0.056	Cavernous Maw	84	Batallia Downs [S]	-45.147	436.919	0.056	0	unlock:crystal-war-maw-opened-from-the-past-side	Examine the Cavernous Maw to travel to the past. This Maw only works once it has been opened from the past side, and the first crossing may not land where the guide expects. The route continues in Batallia Downs [S].	catalogue:cavernous-maw	untested
910000084	maw	84	Batallia Downs [S]	-45.147	436.919	0.056	Cavernous Maw	105	Batallia Downs	-45.147	436.919	0.056	0	always	Examine the Cavernous Maw to return to the present. The route continues in Batallia Downs.	catalogue:cavernous-maw	untested
910000120	maw	120	Sauromugue Champaign	372.226	-223.676	9.239	Cavernous Maw	98	Sauromugue Champaign [S]	372.226	-223.676	9.239	0	unlock:crystal-war-maw-opened-from-the-past-side	Examine the Cavernous Maw to travel to the past. This Maw only works once it has been opened from the past side, and the first crossing may not land where the guide expects. The route continues in Sauromugue Champaign [S].	catalogue:cavernous-maw	untested
910000098	maw	98	Sauromugue Champaign [S]	372.226	-223.676	9.239	Cavernous Maw	120	Sauromugue Champaign	372.226	-223.676	9.239	0	always	Examine the Cavernous Maw to return to the present. The route continues in Sauromugue Champaign.	catalogue:cavernous-maw	untested
910000101	maw	101	East Ronfaure	321.899	509.089	-59.500	Cavernous Maw	81	East Ronfaure [S]	321.899	509.089	-59.500	0	unlock:crystal-war-maw-opened-from-the-past-side	Examine the Cavernous Maw to travel to the past. This Maw only works once it has been opened from the past side, and the first crossing may not land where the guide expects. The route continues in East Ronfaure [S].	catalogue:cavernous-maw	untested
910000081	maw	81	East Ronfaure [S]	321.899	509.089	-59.500	Cavernous Maw	101	East Ronfaure	321.899	509.089	-59.500	0	always	Examine the Cavernous Maw to return to the present. The route continues in East Ronfaure.	catalogue:cavernous-maw	untested
910000109	maw	109	Pashhow Marshlands	422.092	30.299	25.290	Cavernous Maw	90	Pashhow Marshlands [S]	422.092	30.299	25.290	0	unlock:crystal-war-maw-opened-from-the-past-side	Examine the Cavernous Maw to travel to the past. This Maw only works once it has been opened from the past side, and the first crossing may not land where the guide expects. The route continues in Pashhow Marshlands [S].	catalogue:cavernous-maw	untested
910000090	maw	90	Pashhow Marshlands [S]	422.092	30.299	25.290	Cavernous Maw	109	Pashhow Marshlands	422.092	30.299	25.290	0	always	Examine the Cavernous Maw to return to the present. The route continues in Pashhow Marshlands.	catalogue:cavernous-maw	untested
910000110	maw	110	Rolanberry Fields	-201.984	358.013	7.999	Cavernous Maw	91	Rolanberry Fields [S]	-201.984	358.013	7.999	0	unlock:crystal-war-maw-opened-from-the-past-side	Examine the Cavernous Maw to travel to the past. This Maw only works once it has been opened from the past side, and the first crossing may not land where the guide expects. The route continues in Rolanberry Fields [S].	catalogue:cavernous-maw	untested
910000091	maw	91	Rolanberry Fields [S]	-201.984	358.013	7.999	Cavernous Maw	110	Rolanberry Fields	-201.984	358.013	7.999	0	always	Examine the Cavernous Maw to return to the present. The route continues in Rolanberry Fields.	catalogue:cavernous-maw	untested
910000115	maw	115	West Sarutabaruta	-2.229	-162.715	0.000	Cavernous Maw	95	West Sarutabaruta [S]	-2.229	-162.715	0.000	0	unlock:crystal-war-maw-opened-from-the-past-side	Examine the Cavernous Maw to travel to the past. This Maw only works once it has been opened from the past side, and the first crossing may not land where the guide expects. The route continues in West Sarutabaruta [S].	catalogue:cavernous-maw	untested
910000095	maw	95	West Sarutabaruta [S]	-2.229	-162.715	0.000	Cavernous Maw	115	West Sarutabaruta	-2.229	-162.715	0.000	0	always	Examine the Cavernous Maw to return to the present. The route continues in West Sarutabaruta.	catalogue:cavernous-maw	untested
910000119	maw	119	Meriphataud Mountains	600.278	282.177	-32.000	Cavernous Maw	97	Meriphataud Mountains [S]	600.278	282.177	-32.000	0	unlock:crystal-war-maw-opened-from-the-past-side	Examine the Cavernous Maw to travel to the past. This Maw only works once it has been opened from the past side, and the first crossing may not land where the guide expects. The route continues in Meriphataud Mountains [S].	catalogue:cavernous-maw	untested
910000097	maw	97	Meriphataud Mountains [S]	600.278	282.177	-32.000	Cavernous Maw	119	Meriphataud Mountains	600.278	282.177	-32.000	0	always	Examine the Cavernous Maw to return to the present. The route continues in Meriphataud Mountains.	catalogue:cavernous-maw	untested
920000102	telepoint	102	La Theine Plateau	340.000	-60.000	19.104	Shattered Telepoint	16	Promyvion - Holla	0.000	0.000	0.000	0	always	Examine the Shattered Telepoint at the Crag of Holla to enter Promyvion - Holla. The route continues there.	catalogue:shattered-telepoint	untested
920000108	telepoint	108	Konschtat Highlands	140.000	220.000	19.104	Shattered Telepoint	18	Promyvion - Dem	0.000	0.000	0.000	0	always	Examine the Shattered Telepoint at the Crag of Dem to enter Promyvion - Dem. The route continues there.	catalogue:shattered-telepoint	untested
920000117	telepoint	117	Tahrongi Canyon	180.000	260.000	35.150	Shattered Telepoint	20	Promyvion - Mea	0.000	0.000	0.000	0	always	Examine the Shattered Telepoint at the Crag of Mea to enter Promyvion - Mea. The route continues there.	catalogue:shattered-telepoint	untested
920000112	telepoint	112	Xarcabard	150.258	-37.256	-21.047	Telepoint	22	Promyvion - Vahzl	0.000	0.000	0.000	0	always	Examine the telepoint at the Crag of Vahzl to enter Promyvion - Vahzl. The route continues there.	catalogue:telepoint-approximate	approximate
